#plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
'266','51630','215','26','299548501317019648',145.64788,-0.771763,17.56,0.021652,1.1e-05,'0','GALAXY','STARFORMING'
'266','51630','216','26','299548776194926592',145.75973,-0.813892,38.89,0.067634,8e-06,'0','GALAXY','AGN BROADLINE'
'266','51630','217','26','299549051072833536',145.70894,-0.747678,24.49,0.071566,1.9e-05,'0','GALAXY',''
'266','51630','218','26','299549325950740480',145.64345,-0.68482,9.82,0.146034,3.6e-05,'0','GALAXY',''
'266','51630','219','26','299549600828647424',145.78109,-0.605341,13.24,0.142582,3.3e-05,'0','GALAXY',''
'266','51630','220','26','299549875706554368',145.70728,-0.677747,4.1,0.401925,0.000123,'0','GALAXY',''
'266','51630','221','26','299550150584461312',145.74475,-0.076352,19.78,0.062591,5e-06,'0','GALAXY','STARBURST'
'266','51630','223','26','299550700340275200',145.6012,-0.001389,16.33,0.145823,2.3e-05,'0','GALAXY','STARBURST'
'266','51630','224','26','299550975218182144',145.73722,-0.061009,20.79,0.143917,2.3e-05,'0','GALAXY',''
'266','51630','226','26','299551524973996032',145.66949,0.111673,19.71,0.124705,2.9e-05,'0','GALAXY',''
'266','51630','228','26','299552074729809920',145.71827,0.069323,2.92,0.515604,0.000193,'0','GALAXY',''
'266','51630','229','26','299552349607716864',145.68939,-0.011336,12.41,0.097682,7e-06,'0','GALAXY','STARBURST'
'266','51630','230','26','299552624485623808',145.70269,-0.048527,18.38,0.098322,6e-06,'0','GALAXY','STARBURST'
'266','51630','231','26','299552899363530752',145.59828,-0.202199,17.52,0.091136,8e-06,'0','GALAXY','STARFORMING'
'266','51630','232','26','299553174241437696',145.64341,-0.300148,3.95,0.125431,8e-06,'0','GALAXY','STARBURST'
'266','51630','235','26','299553998875158528',145.63696,-0.454492,7.35,0.35807,8.1e-05,'0','GALAXY',''
'266','51630','236','26','299554273753065472',145.72206,-0.527137,18.65,0.164054,2.8e-05,'0','GALAXY',''
'266','51630','237','26','299554548630972416',145.77842,-0.134551,17.45,0.145157,3.2e-05,'0','GALAXY',''
'266','51630','239','26','299555098386786304',145.80121,-0.211129,13.84,0.144856,2.5e-05,'0','GALAXY',''
'266','51630','240','26','299555373264693248',145.66918,-0.421025,11.08,0.030363,1.2e-05,'0','GALAXY','STARFORMING'
'266','51630','241','26','299555648142600192',145.3983,-0.670926,17.05,0.146817,3.1e-05,'0','GALAXY',''
'266','51630','242','26','299555923020507136',145.37814,-0.674318,18.01,0.090209,2.8e-05,'0','GALAXY',''
'266','51630','243','26','299556197898414080',145.48725,-0.806932,28.73,0.060844,1.7e-05,'0','GALAXY',''
'266','51630','244','26','299556472776321024',145.50248,-0.966632,21.46,0.147709,2.8e-05,'0','GALAXY',''
'266','51630','245','26','299556747654227968',145.38815,-0.69227,13.45,0.146789,4.2e-05,'0','GALAXY',''
'266','51630','246','26','299557022532134912',145.46323,-0.844223,17.33,0.146408,3.2e-05,'0','GALAXY',''
'266','51630','247','26','299557297410041856',145.37115,-1.081015,12.27,0.098887,8e-06,'0','GALAXY','STARFORMING'
'266','51630','248','26','299557572287948800',145.44408,-1.195456,19.32,0.088163,2.3e-05,'0','GALAXY',''
'266','51630','250','26','299558122043762688',145.37411,-1.24932,45.5,0.066866,1.4e-05,'0','GALAXY','BROADLINE'
'266','51630','251','26','299558396921669632',145.53585,-1.078282,4.64,0.460744,0.000112,'0','GALAXY',''
'266','51630','253','26','299558946677483520',145.43954,-0.645241,22.06,0.149207,3.3e-05,'0','GALAXY','STARFORMING'
'266','51630','254','26','299559221555390464',145.39427,-0.557655,22.84,0.125913,8e-06,'0','GALAXY','STARBURST'
'266','51630','255','26','299559496433297408',145.52621,-0.747451,13.96,0.218378,4.6e-05,'0','GALAXY',''
'266','51630','256','26','299559771311204352',145.55749,-0.693205,9.85,0.217765,5.6e-05,'0','GALAXY',''
'266','51630','257','26','299560046189111296',145.47929,-1.053425,25.14,0.088422,2.1e-05,'0','GALAXY',''
'266','51630','258','26','299560321067018240',145.49628,-0.736792,17.49,0.146764,2.9e-05,'0','GALAXY',''
'266','51630','260','26','299560870822832128',145.47822,-0.599816,22.69,0.126777,3e-05,'0','GALAXY',''
'266','51630','261','26','299561145700739072',145.41306,0.106463,13.52,0.121305,1.9e-05,'0','GALAXY',''
'266','51630','262','26','299561420578646016',145.44666,0.077355,11.67,0.122466,1.8e-05,'0','GALAXY',''
'266','51630','263','26','299561695456552960',145.55032,0.009495,7.54,0.336367,7.9e-05,'0','GALAXY',''
'266','51630','264','26','299561970334459904',145.36478,-0.342794,14.1,0.148621,1.9e-05,'0','GALAXY',''
'266','51630','265','26','299562245212366848',145.39106,-0.415596,16.81,0.035879,1.2e-05,'0','GALAXY','STARFORMING'
'266','51630','266','26','299562520090273792',145.42694,0.049537,25.31,0.090878,2.6e-05,'0','GALAXY',''
'266','51630','267','26','299562794968180736',145.36789,-0.465454,8.45,0.342279,9e-05,'0','GALAXY',''
'266','51630','268','26','299563069846087680',145.40681,-0.314397,15.94,0.146884,3.8e-05,'0','GALAXY',''
'266','51630','269','26','299563344723994624',145.49979,-0.430594,9.71,0.366239,7.5e-05,'0','GALAXY',''
'266','51630','271','26','299563894479808512',145.44549,-0.122678,25.05,0.090536,2.5e-05,'0','GALAXY',''
'266','51630','272','26','299564169357715456',145.39609,-0.091231,23.15,0.09002,1.5e-05,'0','GALAXY','STARFORMING'
'266','51630','274','26','299564719113529344',145.51629,-0.519194,18.79,0.126764,3.8e-05,'0','GALAXY',''
'266','51630','276','26','299565268869343232',145.46451,0.107001,19.84,0.122822,2.9e-05,'0','GALAXY',''
'266','51630','277','26','299565543747250176',145.45408,0.039078,9.1,0.181435,1.8e-05,'0','GALAXY','STARFORMING'
'266','51630','278','26','299565818625157120',145.51958,-0.277555,13.87,0.098263,8e-06,'0','GALAXY','STARFORMING'
